round,kickoff,matchCentreUrl,home,away
14,2026-06-07T04:00:00Z,/draw/nrl-premiership/2026/round-14/wests-tigers-v-panthers/,Wests Tigers,Panthers
14,2026-06-07T06:05:00Z,/draw/nrl-premiership/2026/round-14/sharks-v-dragons/,Sharks,Dragons
14,2026-06-08T06:00:00Z,/draw/nrl-premiership/2026/round-14/bulldogs-v-eels/,Bulldogs,Eels
15,2026-06-11T09:50:00Z,/draw/nrl-premiership/2026/round-15/rabbitohs-v-broncos/,Rabbitohs,Broncos
15,2026-06-12T10:00:00Z,/draw/nrl-premiership/2026/round-15/dolphins-v-roosters/,Dolphins,Roosters
15,2026-06-13T07:30:00Z,/draw/nrl-premiership/2026/round-15/warriors-v-sharks/,Warriors,Sharks
15,2026-06-13T09:35:00Z,/draw/nrl-premiership/2026/round-15/eels-v-raiders/,Eels,Raiders
15,2026-06-14T06:05:00Z,/draw/nrl-premiership/2026/round-15/wests-tigers-v-titans/,Wests Tigers,Titans
16,2026-06-19T10:00:00Z,/draw/nrl-premiership/2026/round-16/knights-v-dragons/,Knights,Dragons
16,2026-06-20T05:00:00Z,/draw/nrl-premiership/2026/round-16/wests-tigers-v-dolphins/,Wests Tigers,Dolphins
16,2026-06-20T07:30:00Z,/draw/nrl-premiership/2026/round-16/titans-v-panthers/,Titans,Panthers
16,2026-06-20T09:35:00Z,/draw/nrl-premiership/2026/round-16/bulldogs-v-sea-eagles/,Bulldogs,Sea Eagles
16,2026-06-21T04:00:00Z,/draw/nrl-premiership/2026/round-16/warriors-v-cowboys/,Warriors,Cowboys
16,2026-06-21T06:05:00Z,/draw/nrl-premiership/2026/round-16/storm-v-raiders/,Storm,Raiders
16,2026-06-21T08:15:00Z,/draw/nrl-premiership/2026/round-16/roosters-v-sharks/,Roosters,Sharks
17,2026-06-25T09:50:00Z,/draw/nrl-premiership/2026/round-17/eels-v-rabbitohs/,Eels,Rabbitohs
17,2026-06-26T08:00:00Z,/draw/nrl-premiership/2026/round-17/titans-v-bulldogs/,Titans,Bulldogs
17,2026-06-26T10:00:00Z,/draw/nrl-premiership/2026/round-17/broncos-v-roosters/,Broncos,Roosters
17,2026-06-27T05:00:00Z,/draw/nrl-premiership/2026/round-17/dolphins-v-warriors/,Dolphins,Warriors
17,2026-06-27T07:30:00Z,/draw/nrl-premiership/2026/round-17/cowboys-v-panthers/,Cowboys,Panthers
17,2026-06-27T09:35:00Z,/draw/nrl-premiership/2026/round-17/sea-eagles-v-storm/,Sea Eagles,Storm
17,2026-06-28T04:00:00Z,/draw/nrl-premiership/2026/round-17/raiders-v-dragons/,Raiders,Dragons
17,2026-06-28T06:05:00Z,/draw/nrl-premiership/2026/round-17/knights-v-wests-tigers/,Knights,Wests Tigers
18,2026-07-03T10:00:00Z,/draw/nrl-premiership/2026/round-18/panthers-v-rabbitohs/,Panthers,Rabbitohs
18,2026-07-04T07:30:00Z,/draw/nrl-premiership/2026/round-18/dragons-v-wests-tigers/,Dragons,Wests Tigers
18,2026-07-04T09:35:00Z,/draw/nrl-premiership/2026/round-18/broncos-v-sharks/,Broncos,Sharks
18,2026-07-05T04:00:00Z,/draw/nrl-premiership/2026/round-18/eels-v-sea-eagles/,Eels,Sea Eagles
18,2026-07-05T06:05:00Z,/draw/nrl-premiership/2026/round-18/knights-v-dolphins/,Knights,Dolphins
19,2026-07-10T10:00:00Z,/draw/nrl-premiership/2026/round-19/wests-tigers-v-warriors/,Wests Tigers,Warriors
19,2026-07-11T05:00:00Z,/draw/nrl-premiership/2026/round-19/dolphins-v-sharks/,Dolphins,Sharks
19,2026-07-11T07:30:00Z,/draw/nrl-premiership/2026/round-19/bulldogs-v-raiders/,Bulldogs,Raiders
19,2026-07-11T09:35:00Z,/draw/nrl-premiership/2026/round-19/roosters-v-eels/,Roosters,Eels
19,2026-07-12T04:00:00Z,/draw/nrl-premiership/2026/round-19/rabbitohs-v-knights/,Rabbitohs,Knights
19,2026-07-12T06:05:00Z,/draw/nrl-premiership/2026/round-19/sea-eagles-v-cowboys/,Sea Eagles,Cowboys
19,2026-07-12T08:15:00Z,/draw/nrl-premiership/2026/round-19/storm-v-titans/,Storm,Titans
20,2026-07-16T09:50:00Z,/draw/nrl-premiership/2026/round-20/panthers-v-broncos/,Panthers,Broncos
20,2026-07-17T08:00:00Z,/draw/nrl-premiership/2026/round-20/sharks-v-knights/,Sharks,Knights
20,2026-07-17T10:00:00Z,/draw/nrl-premiership/2026/round-20/roosters-v-storm/,Roosters,Storm
20,2026-07-18T05:00:00Z,/draw/nrl-premiership/2026/round-20/raiders-v-rabbitohs/,Raiders,Rabbitohs
20,2026-07-18T07:30:00Z,/draw/nrl-premiership/2026/round-20/warriors-v-dragons/,Warriors,Dragons
20,2026-07-18T09:35:00Z,/draw/nrl-premiership/2026/round-20/bulldogs-v-wests-tigers/,Bulldogs,Wests Tigers
20,2026-07-19T04:00:00Z,/draw/nrl-premiership/2026/round-20/titans-v-sea-eagles/,Titans,Sea Eagles
20,2026-07-19T06:05:00Z,/draw/nrl-premiership/2026/round-20/dolphins-v-cowboys/,Dolphins,Cowboys
21,2026-07-23T09:50:00Z,/draw/nrl-premiership/2026/round-21/eels-v-panthers/,Eels,Panthers
21,2026-07-24T08:00:00Z,/draw/nrl-premiership/2026/round-21/knights-v-roosters/,Knights,Roosters
